Id,MSSubClass,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,PoolArea,PoolQC,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotFrontageband,GarageYrBltband,LotAreaband,YearBuiltband,YearRemodAddband,MasVnrAreaband,BsmtFinSF1band,BsmtFinSF2band,BsmtUnfSFband,TotalBsmtSFband,1stFlrSFband,2ndFlrSFband,LowQualFinSFband,GrLivAreaband,GarageAreaband,WoodDeckSFband,OpenPorchSFband,EnclosedPorchband,3SsnPorchband,ScreenPorchband,MiscValband
1,60,RL,Pave,Not Applicable,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,3,1,Gd,8,Typ,0,Not Applicable,Attchd,RFn,2.0,TA,TA,Y,0,Not Applicable,Not Applicable,Not Applicable,2,2008,WD,Normal,208500.0,"(20.708, 79.4]","(1957.4, 2019.8]","(1086.055, 44089.0]","(1996.2, 2010.0]","(1998.0, 2004.0]","(-1.6, 320.0]","(-5.644, 1128.8]","(-1.526, 305.2]","(-2.336, 467.2]","(-6.11, 1222.0]","(329.239, 1286.2]","(826.0, 1239.0]","(-1.064, 212.8]","(1395.6, 2457.2]","(297.6, 595.2]","(-1.424, 284.8]","(-0.742, 148.4]","(-1.012, 202.4]","(-0.508, 169.333]","(-0.576, 144.0]","(-17.0, 1416.667]"
2,20,RL,Pave,Not Applicable,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,GasA,Ex,Y,SBrkr,0.0,1.0,2,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,2.0,TA,TA,Y,0,Not Applicable,Not Applicable,Not Applicable,5,2007,WD,Normal,181500.0,"(79.4, 137.8]","(1957.4, 2019.8]","(1086.055, 44089.0]","(1968.6, 1982.4]","(1974.0, 1980.0]","(-1.6, 320.0]","(-5.644, 1128.8]","(-1.526, 305.2]","(-2.336, 467.2]","(1222.0, 2444.0]","(329.239, 1286.2]","(-2.065, 413.0]","(-1.064, 212.8]","(328.692, 1395.6]","(297.6, 595.2]","(284.8, 569.6]","(-0.742, 148.4]","(-1.012, 202.4]","(-0.508, 169.333]","(-0.576, 144.0]","(-17.0, 1416.667]"
3,60,RL,Pave,Not Applicable,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,RFn,2.0,TA,TA,Y,0,Not Applicable,Not Applicable,Not Applicable,9,2008,WD,Normal,223500.0,"(20.708, 79.4]","(1957.4, 2019.8]","(1086.055, 44089.0]","(1996.2, 2010.0]","(1998.0, 2004.0]","(-1.6, 320.0]","(-5.644, 1128.8]","(-1.526, 305.2]","(-2.336, 467.2]","(-6.11, 1222.0]","(329.239, 1286.2]","(826.0, 1239.0]","(-1.064, 212.8]","(1395.6, 2457.2]","(595.2, 892.8]","(-1.424, 284.8]","(-0.742, 148.4]","(-1.012, 202.4]","(-0.508, 169.333]","(-0.576, 144.0]","(-17.0, 1416.667]"
4,70,RL,Pave,Not Applicable,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,Wd Sdng,Wd Shng,None,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,GasA,Gd,Y,SBrkr,1.0,0.0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,Unf,3.0,TA,TA,Y,0,Not Applicable,Not Applicable,Not Applicable,2,2006,WD,Abnorml,140000.0,"(20.708, 79.4]","(1957.4, 2019.8]","(1086.055, 44089.0]","(1913.4, 1927.2]","(1968.0, 1974.0]","(-1.6, 320.0]","(-5.644, 1128.8]","(-1.526, 305.2]","(467.2, 934.4]","(-6.11, 1222.0]","(329.239, 1286.2]","(413.0, 826.0]","(-1.064, 212.8]","(1395.6, 2457.2]","(595.2, 892.8]","(-1.424, 284.8]","(-0.742, 148.4]","(202.4, 404.8]","(-0.508, 169.333]","(-0.576, 144.0]","(-17.0, 1416.667]"
5,60,RL,Pave,Not Applicable,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,RFn,3.0,TA,TA,Y,0,Not Applicable,Not Applicable,Not Applicable,12,2008,WD,Normal,250000.0,"(79.4, 137.8]","(1957.4, 2019.8]","(1086.055, 44089.0]","(1996.2, 2010.0]","(1998.0, 2004.0]","(320.0, 640.0]","(-5.644, 1128.8]","(-1.526, 305.2]","(467.2, 934.4]","(-6.11, 1222.0]","(329.239, 1286.2]","(826.0, 1239.0]","(-1.064, 212.8]","(1395.6, 2457.2]","(595.2, 892.8]","(-1.424, 284.8]","(-0.742, 148.4]","(-1.012, 202.4]","(-0.508, 169.333]","(-0.576, 144.0]","(-17.0, 1416.667]"
6,50,RL,Pave,Not Applicable,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,Wood,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,1,1,1,1,TA,5,Typ,0,Not Applicable,Attchd,Unf,2.0,TA,TA,Y,0,Not Applicable,MnPrv,Shed,10,2009,WD,Normal,143000.0,"(79.4, 137.8]","(1957.4, 2019.8]","(1086.055, 44089.0]","(1982.4, 1996.2]","(1992.0, 1998.0]","(-1.6, 320.0]","(-5.644, 1128.8]","(-1.526, 305.2]","(-2.336, 467.2]","(-6.11, 1222.0]","(329.239, 1286.2]","(413.0, 826.0]","(-1.064, 212.8]","(328.692, 1395.6]","(297.6, 595.2]","(-1.424, 284.8]","(-0.742, 148.4]","(-1.012, 202.4]","(169.333, 338.667]","(-0.576, 144.0]","(-17.0, 1416.667]"
7,20,RL,Pave,Not Applicable,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2.0,TA,TA,Y,0,Not Applicable,Not Applicable,Not Applicable,8,2007,WD,Normal,307000.0,"(20.708, 79.4]","(1957.4, 2019.8]","(1086.055, 44089.0]","(1996.2, 2010.0]","(2004.0, 2010.0]","(-1.6, 320.0]","(1128.8, 2257.6]","(-1.526, 305.2]","(-2.336, 467.2]","(1222.0, 2444.0]","(1286.2, 2238.4]","(-2.065, 413.0]","(-1.064, 212.8]","(1395.6, 2457.2]","(595.2, 892.8]","(-1.424, 284.8]","(-0.742, 148.4]","(-1.012, 202.4]","(-0.508, 169.333]","(-0.576, 144.0]","(-17.0, 1416.667]"
8,60,RL,Pave,Not Applicable,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,3,1,TA,7,Typ,2,TA,Attchd,RFn,2.0,TA,TA,Y,0,Not Applicable,Not Applicable,Shed,11,2009,WD,Normal,200000.0,"(79.4, 137.8]","(1957.4, 2019.8]","(1086.055, 44089.0]","(1968.6, 1982.4]","(1968.0, 1974.0]","(-1.6, 320.0]","(-5.644, 1128.8]","(-1.526, 305.2]","(-2.336, 467.2]","(-6.11, 1222.0]","(329.239, 1286.2]","(826.0, 1239.0]","(-1.064, 212.8]","(1395.6, 2457.2]","(297.6, 595.2]","(-1.424, 284.8]","(148.4, 296.8]","(202.4, 404.8]","(-0.508, 169.333]","(-0.576, 144.0]","(-17.0, 1416.667]"
9,50,RM,Pave,Not Applicable,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,BrkFace,Wd Shng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,FuseF,0.0,0.0,2,0,2,2,TA,8,Min1,2,TA,Detchd,Unf,2.0,Fa,TA,Y,0,Not Applicable,Not Applicable,Not Applicable,4,2008,WD,Abnorml,129900.0,"(20.708, 79.4]","(1894.688, 1957.4]","(1086.055, 44089.0]","(1927.2, 1941.0]","(1949.94, 1956.0]","(-1.6, 320.0]","(-5.644, 1128.8]","(-1.526, 305.2]","(934.4, 1401.6]","(-6.11, 1222.0]","(329.239, 1286.2]","(413.0, 826.0]","(-1.064, 212.8]","(1395.6, 2457.2]","(297.6, 595.2]","(-1.424, 284.8]","(-0.742, 148.4]","(202.4, 404.8]","(-0.508, 169.333]","(-0.576, 144.0]","(-17.0, 1416.667]"
10,190,RL,Pave,Not Applicable,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1.0,0.0,1,0,2,2,TA,5,Typ,2,TA,Attchd,RFn,1.0,Gd,TA,Y,0,Not Applicable,Not Applicable,Not Applicable,1,2008,WD,Normal,118000.0,"(20.708, 79.4]","(1894.688, 1957.4]","(1086.055, 44089.0]","(1927.2, 1941.0]","(1949.94, 1956.0]","(-1.6, 320.0]","(-5.644, 1128.8]","(-1.526, 305.2]","(-2.336, 467.2]","(-6.11, 1222.0]","(329.239, 1286.2]","(-2.065, 413.0]","(-1.064, 212.8]","(328.692, 1395.6]","(-1.488, 297.6]","(-1.424, 284.8]","(-0.742, 148.4]","(-1.012, 202.4]","(-0.508, 169.333]","(-0.576, 144.0]","(-17.0, 1416.667]"
