PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,AgeBand
1,0,3,male,22,1,0,A/5 21171,7.25,Missing,S,"(16.0, 32.0]"
2,1,1,female,38,1,0,PC 17599,71.2833,C85,C,"(32.0, 48.0]"
3,1,3,female,26,0,0,STON/O2. 3101282,7.925,Missing,S,"(16.0, 32.0]"
4,1,1,female,35,1,0,113803,53.1,C123,S,"(32.0, 48.0]"
5,0,3,male,35,0,0,373450,8.05,Missing,S,"(32.0, 48.0]"
6,0,3,male,24,0,0,330877,8.4583,Missing,Q,"(16.0, 32.0]"
7,0,1,male,54,0,0,17463,51.8625,E46,S,"(48.0, 64.0]"
8,0,3,male,2,3,1,349909,21.075,Missing,S,"(-0.08, 16.0]"
9,1,3,female,27,0,2,347742,11.1333,Missing,S,"(16.0, 32.0]"
10,1,2,female,14,1,0,237736,30.0708,Missing,C,"(-0.08, 16.0]"
11,1,3,female,4,1,1,PP 9549,16.7,G6,S,"(-0.08, 16.0]"
12,1,1,female,58,0,0,113783,26.55,C103,S,"(48.0, 64.0]"
13,0,3,male,20,0,0,A/5. 2151,8.05,Missing,S,"(16.0, 32.0]"
14,0,3,male,39,1,5,347082,31.275,Missing,S,"(32.0, 48.0]"
15,0,3,female,14,0,0,350406,7.8542,Missing,S,"(-0.08, 16.0]"
16,1,2,female,55,0,0,248706,16.0,Missing,S,"(48.0, 64.0]"
17,0,3,male,2,4,1,382652,29.125,Missing,Q,"(-0.08, 16.0]"
18,1,2,male,38,0,0,244373,13.0,Missing,S,"(32.0, 48.0]"
19,0,3,female,31,1,0,345763,18.0,Missing,S,"(16.0, 32.0]"
20,1,3,female,25,0,0,2649,7.225,Missing,C,"(16.0, 32.0]"
21,0,2,male,35,0,0,239865,26.0,Missing,S,"(32.0, 48.0]"
22,1,2,male,34,0,0,248698,13.0,D56,S,"(32.0, 48.0]"
23,1,3,female,15,0,0,330923,8.0292,Missing,Q,"(-0.08, 16.0]"
24,1,1,male,28,0,0,113788,35.5,A6,S,"(16.0, 32.0]"
25,0,3,female,8,3,1,349909,21.075,Missing,S,"(-0.08, 16.0]"
26,1,3,female,38,1,5,347077,31.3875,Missing,S,"(32.0, 48.0]"
27,0,3,male,22,0,0,2631,7.225,Missing,C,"(16.0, 32.0]"
28,0,1,male,19,3,2,19950,263.0,C23 C25 C27,S,"(16.0, 32.0]"
29,1,3,female,21,0,0,330959,7.8792,Missing,Q,"(16.0, 32.0]"
30,0,3,male,33,0,0,349216,7.8958,Missing,S,"(32.0, 48.0]"
31,0,1,male,40,0,0,PC 17601,27.7208,Missing,C,"(32.0, 48.0]"
32,1,1,female,19,1,0,PC 17569,146.5208,B78,C,"(16.0, 32.0]"
33,1,3,female,21,0,0,335677,7.75,Missing,Q,"(16.0, 32.0]"
34,0,2,male,66,0,0,C.A. 24579,10.5,Missing,S,"(64.0, 80.0]"
35,0,1,male,28,1,0,PC 17604,82.1708,Missing,C,"(16.0, 32.0]"
36,0,1,male,42,1,0,113789,52.0,Missing,S,"(32.0, 48.0]"
37,1,3,male,37,0,0,2677,7.2292,Missing,C,"(32.0, 48.0]"
38,0,3,male,21,0,0,A./5. 2152,8.05,Missing,S,"(16.0, 32.0]"
39,0,3,female,18,2,0,345764,18.0,Missing,S,"(16.0, 32.0]"
40,1,3,female,14,1,0,2651,11.2417,Missing,C,"(-0.08, 16.0]"
41,0,3,female,40,1,0,7546,9.475,Missing,S,"(32.0, 48.0]"
42,0,2,female,27,1,0,11668,21.0,Missing,S,"(16.0, 32.0]"
43,0,3,male,23,0,0,349253,7.8958,Missing,C,"(16.0, 32.0]"
44,1,2,female,3,1,2,SC/Paris 2123,41.5792,Missing,C,"(-0.08, 16.0]"
45,1,3,female,19,0,0,330958,7.8792,Missing,Q,"(16.0, 32.0]"
46,0,3,male,24,0,0,S.C./A.4. 23567,8.05,Missing,S,"(16.0, 32.0]"
47,0,3,male,27,1,0,370371,15.5,Missing,Q,"(16.0, 32.0]"
48,1,3,female,39,0,0,14311,7.75,Missing,Q,"(32.0, 48.0]"
49,0,3,male,31,2,0,2662,21.6792,Missing,C,"(16.0, 32.0]"
50,0,3,female,18,1,0,349237,17.8,Missing,S,"(16.0, 32.0]"
51,0,3,male,7,4,1,3101295,39.6875,Missing,S,"(-0.08, 16.0]"
52,0,3,male,21,0,0,A/4. 39886,7.8,Missing,S,"(16.0, 32.0]"
53,1,1,female,49,1,0,PC 17572,76.7292,D33,C,"(48.0, 64.0]"
54,1,2,female,29,1,0,2926,26.0,Missing,S,"(16.0, 32.0]"
55,0,1,male,65,0,1,113509,61.9792,B30,C,"(64.0, 80.0]"
56,1,1,male,34,0,0,19947,35.5,C52,S,"(32.0, 48.0]"
57,1,2,female,21,0,0,C.A. 31026,10.5,Missing,S,"(16.0, 32.0]"
58,0,3,male,28,0,0,2697,7.2292,Missing,C,"(16.0, 32.0]"
59,1,2,female,5,1,2,C.A. 34651,27.75,Missing,S,"(-0.08, 16.0]"
60,0,3,male,11,5,2,CA 2144,46.9,Missing,S,"(-0.08, 16.0]"
61,0,3,male,22,0,0,2669,7.2292,Missing,C,"(16.0, 32.0]"
62,1,1,female,38,0,0,113572,80.0,B28,S,"(32.0, 48.0]"
63,0,1,male,45,1,0,36973,83.475,C83,S,"(32.0, 48.0]"
64,0,3,male,4,3,2,347088,27.9,Missing,S,"(-0.08, 16.0]"
65,0,1,male,30,0,0,PC 17605,27.7208,Missing,C,"(16.0, 32.0]"
66,1,3,male,18,1,1,2661,15.2458,Missing,C,"(16.0, 32.0]"
67,1,2,female,29,0,0,C.A. 29395,10.5,F33,S,"(16.0, 32.0]"
68,0,3,male,19,0,0,S.P. 3464,8.1583,Missing,S,"(16.0, 32.0]"
69,1,3,female,17,4,2,3101281,7.925,Missing,S,"(16.0, 32.0]"
70,0,3,male,26,2,0,315151,8.6625,Missing,S,"(16.0, 32.0]"
71,0,2,male,32,0,0,C.A. 33111,10.5,Missing,S,"(16.0, 32.0]"
72,0,3,female,16,5,2,CA 2144,46.9,Missing,S,"(-0.08, 16.0]"
73,0,2,male,21,0,0,S.O.C. 14879,73.5,Missing,S,"(16.0, 32.0]"
74,0,3,male,26,1,0,2680,14.4542,Missing,C,"(16.0, 32.0]"
75,1,3,male,32,0,0,1601,56.4958,Missing,S,"(16.0, 32.0]"
76,0,3,male,25,0,0,348123,7.65,F G73,S,"(16.0, 32.0]"
77,0,3,male,23,0,0,349208,7.8958,Missing,S,"(16.0, 32.0]"
78,0,3,male,33,0,0,374746,8.05,Missing,S,"(32.0, 48.0]"
79,1,2,male,0,0,2,248738,29.0,Missing,S,"(-0.08, 16.0]"
80,1,3,female,30,0,0,364516,12.475,Missing,S,"(16.0, 32.0]"
81,0,3,male,22,0,0,345767,9.0,Missing,S,"(16.0, 32.0]"
82,1,3,male,29,0,0,345779,9.5,Missing,S,"(16.0, 32.0]"
83,1,3,female,39,0,0,330932,7.7875,Missing,Q,"(32.0, 48.0]"
84,0,1,male,28,0,0,113059,47.1,Missing,S,"(16.0, 32.0]"
85,1,2,female,17,0,0,SO/C 14885,10.5,Missing,S,"(16.0, 32.0]"
86,1,3,female,33,3,0,3101278,15.85,Missing,S,"(32.0, 48.0]"
87,0,3,male,16,1,3,W./C. 6608,34.375,Missing,S,"(-0.08, 16.0]"
88,0,3,male,35,0,0,SOTON/OQ 392086,8.05,Missing,S,"(32.0, 48.0]"
89,1,1,female,23,3,2,19950,263.0,C23 C25 C27,S,"(16.0, 32.0]"
90,0,3,male,24,0,0,343275,8.05,Missing,S,"(16.0, 32.0]"
91,0,3,male,29,0,0,343276,8.05,Missing,S,"(16.0, 32.0]"
92,0,3,male,20,0,0,347466,7.8542,Missing,S,"(16.0, 32.0]"
93,0,1,male,46,1,0,W.E.P. 5734,61.175,E31,S,"(32.0, 48.0]"
94,0,3,male,26,1,2,C.A. 2315,20.575,Missing,S,"(16.0, 32.0]"
95,0,3,male,59,0,0,364500,7.25,Missing,S,"(48.0, 64.0]"
96,0,3,male,16,0,0,374910,8.05,Missing,S,"(-0.08, 16.0]"
97,0,1,male,71,0,0,PC 17754,34.6542,A5,C,"(64.0, 80.0]"
98,1,1,male,23,0,1,PC 17759,63.3583,D10 D12,C,"(16.0, 32.0]"
